,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
575,26120,id,35391,id_1,35392,id_2,Саакашвили и Маккейн вошли в совет по реформам при президенте Украины,text_1,Порошенко назначил Саакашвили главой совета по проведению реформ,text_2,0,class
579,26126,id,35401,id_1,35402,id_2,"Столтенберг: НАТО проведет учения ""Южный ответ"" на Украине осенью",text_1,Столтенберг анонсировал учения Украины и НАТО «Южный ответ»,text_2,0,class
581,26131,id,35410,id_1,35411,id_2,Замглавы МВД Украины подал в отставку из-за травли в СМИ,text_1,Замминистра МВД Украины подал в отставку из-за журналистов,text_2,0,class
582,26132,id,35412,id_1,35413,id_2,Путин освободил от должности и назначил врио главу Иркутской области,text_1,Путин назначил Ерощенко врио иркутского губернатора,text_2,0,class
584,26134,id,35416,id_1,35415,id_2,В Минфине сообщили о решении создать санатора страховых компаний на базе АСВ,text_1,На базе АСВ создадут санатор страховых компаний,text_2,0,class
585,26135,id,35417,id_1,35418,id_2,Источник: задержано руководство расформированного главка МВД по СЗФО,text_1,В Петербурге задержали бывшего начальника МВД по СЗФО,text_2,0,class
587,26137,id,35419,id_1,35421,id_2,Певица Сара Брайтман отложила полет на МКС по семейным обстоятельствам,text_1,Певица Сара Брайтмэн отказалась от полета на МКС,text_2,0,class
588,26138,id,35419,id_1,35422,id_2,Певица Сара Брайтман отложила полет на МКС по семейным обстоятельствам,text_1,Сара Брайтман отказалась от полета на МКС,text_2,0,class
589,26139,id,35401,id_1,35423,id_2,"Столтенберг: НАТО проведет учения ""Южный ответ"" на Украине осенью",text_1,Столтенберг: Украина может рассчитывать на поддержку стран НАТО,text_2,0,class
590,26140,id,35424,id_1,35425,id_2,"PGNIG обратилась в Стокгольмский арбитраж по ценам на газ ""Газпрома""",text_1,Польская PGNiG подала на «Газпром» в Стокгольмский арбитраж,text_2,0,class
592,26142,id,35428,id_1,35429,id_2,На лечение в Москву доставлены 18 тяжелобольных детей из Донбасса,text_1,Самолет МЧС России доставил на лечение в Москву детей из Донбасса,text_2,0,class
593,26143,id,35430,id_1,35429,id_2,Самолет МЧС России доставит на лечение в Москву 21 ребенка из Донбасса,text_1,Самолет МЧС России доставил на лечение в Москву детей из Донбасса,text_2,0,class
595,26145,id,35432,id_1,35431,id_2,На лечение в Москву доставлены 18 тяжелобольных детей из Донбасса,text_1,В Москву доставили 18 тяжелобольных детей из Донбасса,text_2,0,class
603,26154,id,35405,id_1,35443,id_2,Боевики напали на гостиницу для иностранцев в Кабуле,text_1,Пятеро иностранцев убиты при нападении боевиков на отель в Кабуле,text_2,0,class
604,26155,id,35444,id_1,35445,id_2,Число погибших при нападении на гостиницу в Кабуле увеличилось до трех,text_1,Число погибших при атаке на гостиницу в Кабуле увеличилось до пяти,text_2,0,class
606,26158,id,35449,id_1,35450,id_2,Палата представителей США приняла проект о запрете сбора данных,text_1,Палата представителей США запретила собирать данные о звонках,text_2,0,class
607,26159,id,35451,id_1,35452,id_2,Сирийская оппозиция отказалась от консультаций с де Мистурой,text_1,Сирийская оппозиция отказалась от консультаций со спецпосланником ООН,text_2,0,class
608,26160,id,35453,id_1,35454,id_2,Колонна МЧС России с гуманитарной помощью отправилась в Донбасс,text_1,В Донбасс отправилась очередная автоколонна с гуманитарной помощью,text_2,0,class
609,26161,id,35455,id_1,35456,id_2,"Рогозин: танк ""Армата"" оборудуют новой пушкой с мощным зарядом",text_1,Танк «Армата» получит 152-миллиметровую пушку,text_2,0,class
611,26164,id,35460,id_1,35461,id_2,Собак актера Джонни Деппа могут усыпить в Австралии,text_1,Власти Австралии пригрозили усыпить собак актера Джонни Деппа,text_2,0,class
614,26169,id,35462,id_1,35466,id_2,СМИ: Маккейн не давал согласия на назначение в совет при Порошенко,text_1,Маккейн опроверг согласие на участие в совете при Порошенко,text_2,0,class
617,26172,id,35470,id_1,35471,id_2,Строители проложили 100 км ж/д от Транссиба до космодрома Восточный,text_1,Строители космодрома Восточный создали профсоюз,text_2,0,class
618,26173,id,35472,id_1,35473,id_2,ФСБ выявило в Новосибирске хищения дизтоплива для снабжения армии,text_1,ФСБ выявила хищение дизельного топлива для армии на 1 млрд руб.,text_2,0,class
619,26175,id,35475,id_1,35476,id_2,Греф предложил ввести для вкладчиков лимит на страховые выплаты,text_1,Греф предложил ограничить число страховых выплат по вкладам,text_2,0,class
621,26177,id,35478,id_1,35479,id_2,Число жертв пожара на фабрике на Филиппинах превысило 70 человек,text_1,Число жертв пожара на филиппинской фабрике выросло до 72,text_2,0,class
622,26178,id,35480,id_1,35479,id_2,Число жертв пожара на фабрике на Филиппинах достигло почти 60 человек,text_1,Число жертв пожара на филиппинской фабрике выросло до 72,text_2,0,class
625,26181,id,35482,id_1,35483,id_2,"ЦБ с 13 мая будет покупать валюту, пополняя международные резервы",text_1,ЦБ РФ решил регулярно покупать валюту на внутреннем рынке для пополнения резервов,text_2,0,class
626,26182,id,35482,id_1,35484,id_2,"ЦБ с 13 мая будет покупать валюту, пополняя международные резервы",text_1,ЦБ начнет скупать валюту на рынке для пополнения резервов,text_2,0,class
631,26187,id,35483,id_1,35484,id_2,ЦБ РФ решил регулярно покупать валюту на внутреннем рынке для пополнения резервов,text_1,ЦБ начнет скупать валюту на рынке для пополнения резервов,text_2,0,class
632,26188,id,35473,id_1,35487,id_2,ФСБ выявила хищение дизельного топлива для армии на 1 млрд руб.,text_1,ФСБ вскрыла хищение топлива для арктической группировки на миллиард рублей,text_2,0,class
633,26189,id,35449,id_1,35488,id_2,Палата представителей США приняла проект о запрете сбора данных,text_1,Палата представителей США запретила сбор телефонных данных американцев,text_2,0,class
636,26194,id,35493,id_1,35494,id_2,В Москве покончил с собой актер театра Сергей Морозов,text_1,Актер РАМТ Степан Морозов покончил с собой,text_2,0,class
637,26195,id,35495,id_1,35496,id_2,Россия отправит следующую колонну с гумпомощью в Донбасс 21 мая,text_1,МЧС РФ отправит очередной гуманитарный конвой в Донбасс 21 мая,text_2,0,class
643,26203,id,35508,id_1,35507,id_2,Зампред ЦБ: убыток российских банков составил в апреле 20 млрд рублей,text_1,Российские банки потеряли 20 миллиардов рублей за месяц,text_2,0,class
647,26208,id,35512,id_1,35514,id_2,Песков: заявления Порошенко о российских военных на Украине голословны,text_1,Кремль: Заявления Киева о российских военных на Украине - голословные,text_2,0,class
650,26212,id,35499,id_1,35519,id_2,Курс доллара превысил 50 рублей,text_1,Официальный курс евро превысил 57 рублей,text_2,0,class
651,26213,id,35520,id_1,35519,id_2,"Официальный курс евро на пятницу вырос на 1,42 рубля, до 57,14 рубля",text_1,Официальный курс евро превысил 57 рублей,text_2,0,class
653,26216,id,35524,id_1,35525,id_2,Власти Крыма предложили Раде Украины переименовать и аэропорт Кеннеди,text_1,В Крыму предложили Раде присвоить аэропорту Кеннеди имя Степана Бандеры,text_2,0,class
654,26217,id,35505,id_1,35526,id_2,Песков: Путин и Керри не обменивались подарками в Сочи,text_1,Песков: Путин и Керри не обменивались подарками,text_2,0,class
656,26220,id,35529,id_1,35530,id_2,В Раду поступил проект постановления об отставке главы МВД Авакова,text_1,В Раду поступил проект постановления об увольнении Авакова,text_2,0,class
658,26222,id,35524,id_1,35533,id_2,Власти Крыма предложили Раде Украины переименовать и аэропорт Кеннеди,text_1,В Крыму предложили Раде назвать аэропорт Кеннеди в честь Бандеры,text_2,0,class
660,26224,id,35418,id_1,35535,id_2,В Петербурге задержали бывшего начальника МВД по СЗФО,text_1,В Петербурге арестовали генерала МВД,text_2,0,class
663,26227,id,35532,id_1,35539,id_2,Путин отправил в отставку четвертого за неделю губернатора,text_1,Путин отправил в отставку четвертого за три дня губернатора,text_2,0,class
668,26232,id,35544,id_1,35543,id_2,Экс-главу упраздненного ГУМВД по СЗФО обвинили в растрате,text_1,Экс-главе ГУ МВД по СЗФО предъявили обвинение в растрате,text_2,0,class
669,26233,id,35545,id_1,35546,id_2,Жители деревни на востоке Индии линчевали пару за внебрачную связь,text_1,В Индии влюбленную пару линчевали за адюльтер,text_2,0,class
670,26234,id,35547,id_1,35548,id_2,"Украина может стать экспортером газа, считает посол США",text_1,Посол США предложил Украине стать экспортером газа,text_2,0,class
672,26236,id,35551,id_1,35552,id_2,Префектура СЗАО опровергает падение ребенка в люк: это был пенсионер,text_1,Префектура опровергла информацию о падении ребенка в люк в Москве,text_2,0,class
673,26237,id,35553,id_1,35554,id_2,"Пушков с иронией отозвался о ""принципах"" НАТО",text_1,"Пушков: НАТО верна своим ""принципам""",text_2,0,class
676,26240,id,35558,id_1,35559,id_2,"Более десяти взрывов произошло на юге Таиланда, 12 человек ранены",text_1,В серии взрывов в Таиланде пострадали 12 человек,text_2,0,class
678,26242,id,35562,id_1,35563,id_2,В Польше задержали 3 выходцев из Чечни по подозрению в терроризме,text_1,Подозреваемых в финансировании терроризма уроженцев Чечни задержали в Польше,text_2,0,class
680,26245,id,35568,id_1,35569,id_2,Bombardier сократит выпуск джетов из-за падения спроса в России и Китае,text_1,Bombardier сократит производство бизнес-джетов из-за кризиса в России,text_2,0,class
681,26246,id,35570,id_1,35571,id_2,Не менее 3 солдат погибли в Бурунди в столкновениях армии и мятежников,text_1,При столкновениях в Бурунди погибли три солдата,text_2,0,class
683,26252,id,35418,id_1,35578,id_2,В Петербурге задержали бывшего начальника МВД по СЗФО,text_1,Бывший начальник ГУ МВД по северо-западу России взят под стражу,text_2,0,class
686,26256,id,35585,id_1,35586,id_2,"Сборная России по хоккею вышла в полуфинал ЧМ, обыграв шведов 5:3",text_1,Сборная России обыграла Швецию на ЧМ по хоккею и вышла в полуфинал,text_2,0,class
687,26257,id,35587,id_1,35588,id_2,В Росии планируют создать изолированную сеть связи для госорганов,text_1,В России создадут изолированную сеть связи для госслужащих,text_2,0,class
688,26258,id,35589,id_1,35590,id_2,Президент Абхазии назначил нового главу МВД,text_1,Президент Абхазии сменил главу МВД после драки силовиков,text_2,0,class
689,26259,id,35591,id_1,35592,id_2,Яромир Ягр вывел Чехию в полуфинал чемпионата мира по хоккею,text_1,Дубли Коваржа и Ягра вывели сборную Чехии в полуфинал ЧМ по хоккею,text_2,0,class
692,26263,id,35597,id_1,35598,id_2,Михаил Горбачев признал провалы в проведении антиалкогольной кампании,text_1,Горбачев признал перестроечную антиалкогольную кампанию ошибкой,text_2,0,class
693,26264,id,35599,id_1,35600,id_2,Страны Персидского залива намерены при помощи США создать систему ПРО,text_1,В Персидском заливе с помощью США создадут региональную систему ПРО,text_2,0,class
695,26266,id,35599,id_1,35602,id_2,Страны Персидского залива намерены при помощи США создать систему ПРО,text_1,США помогут арабским странам создать противоракетную оборону,text_2,0,class
697,26272,id,35599,id_1,35605,id_2,Страны Персидского залива намерены при помощи США создать систему ПРО,text_1,США создадут систему ПРО в странах Персидского залива,text_2,0,class
699,26275,id,35466,id_1,35612,id_2,Маккейн опроверг согласие на участие в совете при Порошенко,text_1,Маккейн отказался войти в совет при Порошенко,text_2,0,class
702,26279,id,35457,id_1,35615,id_2,"Землетрясение магнитудой 5,1 произошло на востоке Индонезии",text_1,"Землетрясение магнитудой 5,4 зафиксировано на востоке Индонезии",text_2,0,class
707,26285,id,35613,id_1,35623,id_2,Маккейн отказался войти в консультативный совет при президенте Украины,text_1,Маккейн отказался войти в совет реформ при президенте Украины,text_2,0,class
709,26287,id,35624,id_1,35625,id_2,"Минфин: Россия, возможно, займет на внешних рынках в 2015 году",text_1,Россия в 2015 году восстановит военные базы у побережья Чукотки,text_2,0,class
710,26288,id,35626,id_1,35627,id_2,"Минобороны ДНР сообщает о 26 нарушениях ""режима тишины"" за сутки",text_1,В ДНР сообщили о 26 обстрелах со стороны украинских силовиков за сутки,text_2,0,class
714,26292,id,35633,id_1,35634,id_2,Павел Астахов извинился за слова о «сморщенных женщинах»,text_1,"Астахов извинился за ""сморщенных женщин""",text_2,0,class
715,26293,id,35635,id_1,35636,id_2,Цукерберг прокомментировал возможность открытия офиса Facebook на Украине,text_1,Цукерберг ответил на просьбу Порошенко открыть офис Facebook на Украине,text_2,0,class
718,26296,id,35634,id_1,35640,id_2,"Астахов извинился за ""сморщенных женщин""",text_1,Астахов извинился за слова о «сморщенных женщинах»,text_2,0,class
721,26300,id,35645,id_1,35646,id_2,Премьер-министр Люксембурга вступает в брак с архитектором из Бельгии,text_1,Премьер Люксембурга вступит в однополый брак с архитектором из Бельгии,text_2,0,class
722,26301,id,35647,id_1,35648,id_2,"Газпром рекомендовал сохранить дивиденды-2014 в 7,2 руб на акцию",text_1,«Газпром» сохранит дивиденды-2014 на уровне предыдущего года,text_2,0,class
724,26304,id,35650,id_1,35651,id_2,Адвокат: бизнесмен Полонский арестован на своем острове в Камбодже,text_1,Адвокат сообщил об аресте Полонского в Камбодже,text_2,0,class
727,26307,id,35655,id_1,35656,id_2,"СМИ: поздравляя Вакарчука, Кличко ошибся с возрастом и именем юбиляра",text_1,Кличко перепутал в поздравлении имя и возраст солиста «Океана Эльзы»,text_2,0,class
729,26309,id,35659,id_1,35660,id_2,Пожарные в ЕАО нашли более 300 кг наркотиков в горящей квартире,text_1,Пожарные нашли в горящей квартире 300 килограммов марихуаны,text_2,0,class
731,26311,id,35655,id_1,35663,id_2,"СМИ: поздравляя Вакарчука, Кличко ошибся с возрастом и именем юбиляра",text_1,"Кличко перепутал имя и возраст в поздравлении солиста ""Океана Эльзы""",text_2,0,class
733,26313,id,35666,id_1,35665,id_2,Адвокат Добровинский сообщил об аресте Сергея Полонского,text_1,Адвокат Полонского подтвердил арест бизнесмена в Камбодже,text_2,0,class
734,26314,id,35650,id_1,35665,id_2,Адвокат: бизнесмен Полонский арестован на своем острове в Камбодже,text_1,Адвокат Полонского подтвердил арест бизнесмена в Камбодже,text_2,0,class
737,26318,id,35673,id_1,35674,id_2,"Выселен последний экс-депутат, незаконно занимавший жилье в Москве",text_1,В Москве выселили бывшего депутата Думы из служебной квартиры,text_2,0,class
738,26319,id,35675,id_1,35674,id_2,"Выселен экс-депутат, незаконно занимавший служебную ""трешку"" в Москве",text_1,В Москве выселили бывшего депутата Думы из служебной квартиры,text_2,0,class
739,26320,id,35676,id_1,35677,id_2,Science: ученые нашли первую в мире теплокровную рыбу,text_1,Обнаружена первая полностью теплокровная рыба,text_2,0,class
740,26321,id,35678,id_1,35679,id_2,Из-за кризиса бюджету Петербурга придется вернуть налогоплательщикам 15 млрд рублей,text_1,Петербургские власти вернут налогоплательщикам 15 млрд рублей,text_2,0,class
744,26325,id,35683,id_1,35682,id_2,Адвокат: Полонский задержан в Камбодже по запросу об экстрадиции в РФ,text_1,Адвокат связал арест Полонского с запросом об экстрадиции в Россию,text_2,0,class
745,26326,id,35684,id_1,35685,id_2,Сбербанк станет стратегическим партнером Петербурга,text_1,Сбербанк может стать стратегическим партнером Петербурга,text_2,0,class
746,26327,id,35686,id_1,35687,id_2,ФМС: загранпаспорт детям до 14 лет оформят в Москве за день,text_1,Детский загранпаспорт в Москве можно будет оформить за один день,text_2,0,class
747,26328,id,35688,id_1,35689,id_2,Из-за отравления водой в Нигерии погибли 28 детей младше пяти лет,text_1,В Нигерии 28 детей погибли из-за отравления водой с примесями свинца,text_2,0,class
748,26329,id,35683,id_1,35690,id_2,Адвокат: Полонский задержан в Камбодже по запросу об экстрадиции в РФ,text_1,Адвокат: Полонского задержали по запросу об экстрадиции в Россию,text_2,0,class
751,26332,id,35694,id_1,35692,id_2,Мосгорсуд приступит к процессу лидера БОРН Горячева,text_1,Дело лидера БОРН Горячева рассмотрит суд присяжных,text_2,0,class
752,26333,id,35695,id_1,35696,id_2,Яценюк: Украина настаивает на реструктуризации долгов,text_1,Яценюк потребовал от инвесторов реструктурировать долги Украины,text_2,0,class
757,26340,id,35705,id_1,35706,id_2,Браконьер со шкурой и мясом амурского тигра задержан в Москве,text_1,В Москве задержан браконьер со шкурой и головой амурского тигра,text_2,0,class
758,26341,id,35707,id_1,35708,id_2,"Помимо Полонского, Камбоджа может экстрадировать еще несколько россиян",text_1,Полонского могут в течение недели депортировать из Камбоджи,text_2,0,class
760,26344,id,35687,id_1,35713,id_2,Детский загранпаспорт в Москве можно будет оформить за один день,text_1,В Москве детям начнут оформлять загранпаспорта за один день,text_2,0,class
762,26346,id,35714,id_1,35715,id_2,Закон об отчете членов кабмина по крупным покупкам принят Госдумой,text_1,Госдума обязала членов правительства сообщать о крупных покупках,text_2,0,class
764,26348,id,35718,id_1,35719,id_2,Прокуратура проверяет информацию об избиении ветерана ВОВ в поликлинике Невского района,text_1,Прокуратура заинтересовалась информацией об избиении ветерана войны в Петербурге,text_2,0,class
765,26349,id,35720,id_1,35721,id_2,Гитарист U2 упал со сцены во время концерта в Ванкувере,text_1,Гитарист группы U2 упал со сцены,text_2,0,class
766,26350,id,35722,id_1,35723,id_2,Песков объяснил решения губернаторов о проведении досрочных выборов,text_1,Песков объяснил отставки губернаторов,text_2,0,class
767,26351,id,35724,id_1,35725,id_2,"Полиция Петербурга опрашивает свидетелей в поликлинике, где, якобы, избили ветерана ВОВ",text_1,СК завел дело по факту избиения ветерана в поликлинике в Петербурге,text_2,0,class
769,26353,id,35728,id_1,35729,id_2,ДНР: СБУ планирует серию терактов на автодорогах,text_1,ДНР: СБУ готовит теракты в преддверии Рижского саммита ЕС,text_2,0,class
770,26355,id,35732,id_1,35733,id_2,Число погибших в результате падения автобуса в КНР возросло до 35,text_1,Число жертв падения автобуса в Китае возросло до 35 человек,text_2,0,class
772,26357,id,35736,id_1,35737,id_2,Парламент ДНР принял закон о вооруженных силах,text_1,ДНР приняла закон о создании вооруженных сил,text_2,0,class
773,26358,id,35738,id_1,35736,id_2,Парламент ДНР принял закон о создании Вооруженных сил,text_1,Парламент ДНР принял закон о вооруженных силах,text_2,0,class
780,26369,id,35731,id_1,35749,id_2,В Испании сбежавший бык ранил 11 человек,text_1,В Испании от сбежавшего быка пострадали 11 человек,text_2,0,class
783,26373,id,35753,id_1,35754,id_2,"Землетрясение магнитудой 5,8 произошло на острове Суматра в Индонезии",text_1,"На индонезийской Суматре произошло землетрясение магнитудой 5,8",text_2,0,class
790,26380,id,35763,id_1,35764,id_2,США — Россия: геополитическая схватка,text_1,Генконсульство России в США не занималось делом Царнаева,text_2,0,class
791,26383,id,35666,id_1,35767,id_2,Адвокат Добровинский сообщил об аресте Сергея Полонского,text_1,Адвокат Добровинский сообщил об аресте Полонского в Камбодже,text_2,0,class
793,26385,id,35650,id_1,35767,id_2,Адвокат: бизнесмен Полонский арестован на своем острове в Камбодже,text_1,Адвокат Добровинский сообщил об аресте Полонского в Камбодже,text_2,0,class
794,26386,id,35768,id_1,35769,id_2,Источник в Роскосмосе: коррекция орбиты полета МКС не состоялась,text_1,Коррекцию орбиты МКС провести не удалось,text_2,0,class
795,26387,id,35770,id_1,35769,id_2,"Источник: коррекция орбиты МКС, предварительно, завершилась нештатно",text_1,Коррекцию орбиты МКС провести не удалось,text_2,0,class
796,26388,id,35771,id_1,35772,id_2,В Вашингтоне убили семью американского строительного магната,text_1,В Вашингтоне найдены мертвыми строительный магнат и его семья,text_2,0,class
797,26389,id,35773,id_1,35774,id_2,Власти Колумбии приостановили 118 ордеров на арест лидера повстанцев,text_1,Власти Колумбии приостановили действие ордеров на арест лидера РВСК,text_2,0,class
798,26390,id,35769,id_1,35775,id_2,Коррекцию орбиты МКС провести не удалось,text_1,Попытка коррекции орбиты МКС завершилась неудачей из-за проблем с «Прогрессом»,text_2,0,class
799,26393,id,35778,id_1,35779,id_2,"Дэвид Линч снимет продолжение сериала ""Твин Пикс""",text_1,Дэвид Линч согласился снять продолжение «Твин Пикса»,text_2,0,class
805,26402,id,35791,id_1,35792,id_2,Компании Китая и Индии подписали 21 сделку на $22 млн,text_1,Индия и Китай договорились о сотрудничестве на 22 млрд долларов,text_2,0,class
806,26404,id,35794,id_1,35795,id_2,В полете «Протона-М» произошла нештатная ситуация,text_1,Роскосмос подтвердил нештатную ситуацию при запуске «Протона-М»,text_2,0,class
808,26406,id,35778,id_1,35797,id_2,"Дэвид Линч снимет продолжение сериала ""Твин Пикс""",text_1,"Дэвид Линч согласился снять продолжение ""Твин Пикс""",text_2,0,class
810,26412,id,35801,id_1,35803,id_2,"Власти Камбоджи намерены депортировать Полонского ""как можно быстрее""",text_1,Власти Камбоджи депортируют Полонского раньше намеченного срока,text_2,0,class
811,26414,id,35804,id_1,35805,id_2,Названа предварительная версия причин аварии «Протона-М»,text_1,Названы вероятные причины аварии «Протона-М»,text_2,0,class
812,26416,id,35807,id_1,35808,id_2,Пушков о визите Керри в Пекин: США нервничают из-за альянса РФ и Китая,text_1,Пушков: США занервничали из-за альянса между Россией и Китаем,text_2,0,class
815,26421,id,35816,id_1,35815,id_2,Рогозин откроет пункт пропуска на границе с Украиной,text_1,Рогозин открыл новый пункт пропуска между Россией и Украиной,text_2,0,class
816,26422,id,35810,id_1,35817,id_2,Экс-президента Египта Мурси приговорили к смертной казни,text_1,Суд приговорил бывшего президента Египта Мурси к смерти,text_2,0,class
817,26423,id,35809,id_1,35817,id_2,Бывшего президента Египта Мухаммеда Мурси приговорили к смертной казни,text_1,Суд приговорил бывшего президента Египта Мурси к смерти,text_2,0,class
819,26425,id,35811,id_1,35817,id_2,Суд в Каире вынесет приговор экс-президенту Египта Мухаммеду Мурси,text_1,Суд приговорил бывшего президента Египта Мурси к смерти,text_2,0,class
821,26427,id,35708,id_1,35819,id_2,Полонского могут в течение недели депортировать из Камбоджи,text_1,Власти Камбоджи могут депортировать Полонского «уже сегодня»,text_2,0,class
825,26432,id,35821,id_1,35822,id_2,"Третья ступень, разгонный блок ""Протона"" и спутник сгорели в атмосфере",text_1,Обломки аварийного «Протона» сгорели в атмосфере,text_2,0,class
826,26434,id,35825,id_1,35826,id_2,"Поезд с навозом врезался в грузовик в Германии: 2 погибших, 20 раненых",text_1,В Германии поезд с навозом протаранил грузовик,text_2,0,class
834,26451,id,35851,id_1,35852,id_2,СМИ: турецкий истребитель сбил сирийский самолет,text_1,Турецкий истребитель сбил в районе границы сирийский самолет,text_2,0,class
841,26460,id,35862,id_1,35863,id_2,"""Локомотив"" нанес поражение ""Рубину"" в матче ЧР по футболу",text_1,"""Локомотив"" разгромил ""Рубин"" в первом матче после отставки Божовича",text_2,0,class
844,26464,id,35869,id_1,35870,id_2,"""РГ"" помогла эвакуировать из Донецка архив братьев Стругацких",text_1,Рукописи Стругацких возвращены из Донецка,text_2,0,class
846,26467,id,35874,id_1,35875,id_2,Власти: массированный обстрел ведется в районе Донецкого аэропорта,text_1,В районе аэропорта Донецка начался массированный обстрел,text_2,0,class
848,26470,id,35879,id_1,35880,id_2,В Киеве вандалы разбили памятную доску маршалу Жукову,text_1,Группа молодых киевлян разбила мемориальную доску маршалу Жукову,text_2,0,class
850,26472,id,35883,id_1,35884,id_2,Трехлетний мальчик в США выстрелил из пистолета в годовалую сестру,text_1,В США мальчик выстрелил из пистолета в лицо годовалой сестре,text_2,0,class
854,26476,id,35890,id_1,35891,id_2,Премьер Франции недоволен инициативой ЕК по квотам на прием беженцев,text_1,Премьер Франции раскритиковал введение квот на прием беженцев,text_2,0,class
855,26477,id,35892,id_1,35893,id_2,Нуланд приедет в Москву 17-18 мая для обсуждения минских соглашений,text_1,Нуланд обсудит в Москве реализацию Минских соглашений,text_2,0,class
857,26479,id,35895,id_1,35896,id_2,Гастрольный автобус Элвиса Пресли продан почти за $270 тысяч,text_1,Автобус Элвиса Пресли продан почти за 270 тысяч долларов,text_2,0,class
860,26483,id,35903,id_1,35904,id_2,МВД России заявило о начале депортации Полонского из Камбоджи,text_1,МВД России заявило об экстрадиции Полонского,text_2,0,class
862,26485,id,35866,id_1,35905,id_2,Адвокат: сроки депортации Полонского из Камбоджи пока неизвестны,text_1,МВД РФ заявило о начале депортации бизнесмена Полонского из Камбоджи,text_2,0,class
863,26486,id,35904,id_1,35906,id_2,МВД России заявило об экстрадиции Полонского,text_1,МВД РФ сообщило о депортации Полонского в Россию,text_2,0,class
864,26488,id,35903,id_1,35906,id_2,МВД России заявило о начале депортации Полонского из Камбоджи,text_1,МВД РФ сообщило о депортации Полонского в Россию,text_2,0,class
866,26490,id,35876,id_1,35907,id_2,Виктория Лопырева объявила о своем расставании с Федором Смоловым,text_1,Виктория Лопырева рассталась с футболистом Федором Смоловым,text_2,0,class
868,26493,id,35902,id_1,35911,id_2,В Бразилии 51-летняя женщина родила 21-го ребенка,text_1,У 51-летней бразильянки родился 21-й по счету ребенок,text_2,0,class
869,26495,id,35912,id_1,35913,id_2,Жертвами взрыва у аэропорта Кабула стали не менее трех человек,text_1,Жертвами взрыва в Афганистане стали не менее трех человек,text_2,0,class
870,26497,id,35916,id_1,35917,id_2,"Боевики ""Талибана"" взяли на себя ответственность за взрыв в Кабуле",text_1,"Ответственность за взрыв в Кабуле взяло на себя движение ""Талибан""",text_2,0,class
875,26503,id,35925,id_1,35926,id_2,Режим КТО введен в двух районах Дагестана,text_1,В Дагестане после убийства лесничего ввели режим КТО,text_2,0,class
876,26504,id,35927,id_1,35928,id_2,В Москве при демонтаже рекламного щита погибли двое рабочих,text_1,В Москве рабочие погибли при демонтаже рекламного щита,text_2,0,class
877,26505,id,35929,id_1,35930,id_2,Клинцевич: слова депутата Рады Мосийчука о Жукове - настоящий фашизм,text_1,В Госдуме назвали фашизмом слова депутаты Рады о Георгии Жукове,text_2,0,class
883,26511,id,35912,id_1,35939,id_2,Жертвами взрыва у аэропорта Кабула стали не менее трех человек,text_1,Жертвой взрыва в Кабуле стал гражданин Великобритании,text_2,0,class
884,26512,id,35940,id_1,35941,id_2,"ПФК ЦСКА разгромил ""Спартак"" со счетом 4:0 в рамках чемпионата России",text_1,ЦСКА разгромил «Спартак» в московском дерби,text_2,0,class
886,26514,id,35943,id_1,35944,id_2,Москвичей предупредили о сильном дожде с ветром,text_1,МЧС предупредило москвичей о сильном ветре и возможном падении деревьев,text_2,0,class
887,26515,id,35945,id_1,35946,id_2,"Алан Дзагоев получил сотрясение мозга в игре со ""Спартаком""",text_1,Дзагоев в матче против «Спартака» получил сотрясение мозга,text_2,0,class
890,26518,id,35951,id_1,35952,id_2,"Фанаты ""Спартака"" и ЦСКА подрались в ходе матча ЧР по футболу",text_1,"Фанаты ""Спартака"" и ЦСКА подрались во время дерби",text_2,0,class
892,26520,id,35954,id_1,35955,id_2,МЧС: газовая скважина горит на Ямале,text_1,Газовая скважина загорелась на Ямале,text_2,0,class
893,26521,id,35956,id_1,35957,id_2,Около 300 человек погибли за последние дни в боях за город Пальмира,text_1,В битве за Пальмиру погибли около 300 человек,text_2,0,class
894,26522,id,35958,id_1,35959,id_2,Мария Шарапова завоевала титул на теннисном турнире в Риме,text_1,Шарапова выиграла турнир в Риме,text_2,0,class
897,26525,id,35963,id_1,35964,id_2,В Иерусалиме солдаты напали на репортеров Russia Today,text_1,Израильские солдаты напали на съемочную группу RT в Иерусалиме,text_2,0,class
898,26527,id,35962,id_1,35966,id_2,"ФК ""Зенит"" сыграл вничью с ""Уфой"" и досрочно стал чемпионом России",text_1,«Зенит» стал пятикратным чемпионом страны по футболу,text_2,0,class
899,26528,id,35967,id_1,35968,id_2,Власти Украины сообщили о задержании двух российских военнослужащих,text_1,Украинские власти сообщили о задержании двоих российских военных в Донбассе,text_2,0,class
901,26530,id,35958,id_1,35969,id_2,Мария Шарапова завоевала титул на теннисном турнире в Риме,text_1,Мария Шарапова выиграла турнир в Риме,text_2,0,class
905,26539,id,35980,id_1,35981,id_2,Польские СМИ: экс-глава МВД причастен к погрому посольства России,text_1,Польские СМИ сообщили о причастности бывшего главы МВД к погрому посольства РФ,text_2,0,class
